/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/79705.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/BIN_REASSEMBLY/reassembled_bins/bin.31.strict.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	1498	744	2236	1498	1493	84.39	3020	2236	49.60	66.77	Ga0113593_1001	NODE_120_length_2236_cov_66.883081
1480	3262	5878	4090	1783	1789	95.59	3262	5878	54.66	30.44	Ga0113593_1005	NODE_66_length_5878_cov_91.445398
1	4044	3237	7276	4044	4040	99.88	4044	27276	100.00	14.81	Ga0113593_1009	NODE_11_length_27276_cov_61.806510
1920	3115	8898	7703	1196	1196	92.15	3115	12447	38.39	9.61	Ga0113593_1011	NODE_34_length_12447_cov_49.563589
1	3124	8622	5506	3124	3117	99.65	3124	70032	100.00	4.45	Ga0113593_1015	NODE_1_length_70032_cov_58.461466
4	3776	19377	15596	3773	3782	86.29	3776	37797	99.92	10.01	Ga0113593_1018	NODE_4_length_37797_cov_77.872238
1	3892	6052	9943	3892	3892	100.00	3892	19531	100.00	19.93	Ga0113593_1019	NODE_23_length_19531_cov_85.391918
4	1307	23	1340	1304	1318	97.28	3059	1340	42.63	98.36	Ga0113593_1021	NODE_170_length_1340_cov_55.926070
1400	3059	1	1667	1660	1667	97.96	3059	5991	54.27	27.83	Ga0113593_1021	NODE_64_length_5991_cov_66.848046
911	2265	1355	1	1355	1355	87.47	3291	1394	41.17	97.20	Ga0113593_1022	NODE_161_length_1394_cov_41.891710
1	1955	4768	2823	1955	1946	83.43	4257	6521	45.92	29.84	Ga0113593_1028	NODE_60_length_6521_cov_73.397154
1	1877	5370	3491	1877	1880	79.06	3791	5489	49.51	34.25	Ga0113593_1030	NODE_73_length_5489_cov_68.827015
1	2887	12201	9315	2887	2887	83.56	5435	12311	53.12	23.45	Ga0113593_1031	NODE_36_length_12311_cov_67.056789
3546	5435	8641	6752	1890	1890	84.99	5435	12311	34.77	15.35	Ga0113593_1031	NODE_36_length_12311_cov_67.056789
1355	3317	10410	12397	1963	1988	83.72	3317	37797	59.18	5.26	Ga0113593_1034	NODE_4_length_37797_cov_77.872238
1	3530	20303	16774	3530	3530	100.00	3530	26515	100.00	13.31	Ga0113593_1036	NODE_12_length_26515_cov_49.344596
1	8107	5127	13233	8107	8107	99.85	8107	29721	100.00	27.28	Ga0113593_1038	NODE_10_length_29721_cov_71.113362
498	3031	8	2536	2534	2529	84.25	3031	6737	83.60	37.54	Ga0113593_1039	NODE_57_length_6737_cov_61.594582
25	1622	1886	3491	1598	1606	80.35	7569	17878	21.11	8.98	Ga0113593_1041	NODE_25_length_17878_cov_64.621164
637	2630	1	2003	1994	2003	96.72	3126	2003	63.79	100.00	Ga0113593_1042	NODE_136_length_2003_cov_44.511807
909	3027	4274	6416	2119	2143	79.11	3027	16512	70.00	12.98	Ga0113593_1043	NODE_28_length_16512_cov_67.354317
