/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/79719.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/BIN_REASSEMBLY/reassembled_bins/bin.137.permissive.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
2	3930	36416	32488	3929	3929	99.36	3930	141486	99.97	2.78	Ga0113608_101	NODE_8_length_141486_cov_31.670362
429	7517	64999	72087	7089	7089	97.85	9955	106661	71.21	6.65	Ga0113608_102	NODE_10_length_106661_cov_37.865889
1	63919	88028	24091	63919	63938	99.97	63919	95370	100.00	67.04	Ga0113608_104	NODE_11_length_95370_cov_32.813314
1	36526	99610	136132	36526	36523	99.99	36526	305612	100.00	11.95	Ga0113608_105	NODE_1_length_305612_cov_38.422775
1	36551	36575	1	36551	36575	99.93	36663	53159	99.69	68.80	Ga0113608_108	NODE_15_length_53159_cov_32.642908
1	66273	100952	167224	66273	66273	100.00	66318	167224	99.93	39.63	Ga0113608_111	NODE_5_length_167224_cov_29.569639
1	65253	65253	1	65253	65253	100.00	66189	106661	98.59	61.18	Ga0113608_112	NODE_10_length_106661_cov_37.865889
1	7208	36027	43243	7208	7217	98.73	7651	141486	94.21	5.10	Ga0113608_113	NODE_8_length_141486_cov_31.670362
1	12815	20331	33139	12815	12809	99.09	12965	141486	98.84	9.05	Ga0113608_114	NODE_8_length_141486_cov_31.670362
1	8449	34513	42961	8449	8449	100.00	8449	154243	100.00	5.48	Ga0113608_115	NODE_7_length_154243_cov_29.748625
1	10610	10658	49	10610	10610	100.00	10610	185056	100.00	5.73	Ga0113608_116	NODE_4_length_185056_cov_26.894174
1	35180	136827	172007	35180	35181	99.99	35180	305612	100.00	11.51	Ga0113608_117	NODE_1_length_305612_cov_38.422775
1	31643	32656	1002	31643	31655	99.96	31643	154243	100.00	20.52	Ga0113608_118	NODE_7_length_154243_cov_29.748625
5516	8377	35422	32554	2862	2869	95.71	31643	154243	9.04	1.86	Ga0113608_118	NODE_7_length_154243_cov_29.748625
28785	30677	1886	1	1893	1886	85.54	31643	1886	5.98	100.00	Ga0113608_118	NODE_26_length_1886_cov_3.258329
609	41692	17309	58392	41084	41084	99.96	41696	58434	98.53	70.31	Ga0113608_119	NODE_12_length_58434_cov_31.237174
241	11447	53159	41953	11207	11207	100.00	11447	53159	97.90	21.08	Ga0113608_120	NODE_15_length_53159_cov_32.642908
1	40716	40817	102	40716	40716	100.00	40716	162636	100.00	25.04	Ga0113608_121	NODE_6_length_162636_cov_26.860414
348	36058	974	36684	35711	35711	100.00	36058	36715	99.04	97.27	Ga0113608_122	NODE_16_length_36715_cov_25.601664
1	58775	29158	87946	58775	58789	99.98	58775	305612	100.00	19.24	Ga0113608_123	NODE_1_length_305612_cov_38.422775
1	52342	75027	127368	52342	52342	100.00	52342	245657	100.00	21.31	Ga0113608_125	NODE_2_length_245657_cov_27.525663
1	8639	175816	184455	8639	8640	99.99	8639	305612	100.00	2.83	Ga0113608_127	NODE_1_length_305612_cov_38.422775
1	46800	15795	62610	46800	46816	99.97	46800	133211	100.00	35.14	Ga0113608_128	NODE_9_length_133211_cov_33.671385
1	26522	210892	184356	26522	26537	99.94	26522	305612	100.00	8.68	Ga0113608_129	NODE_1_length_305612_cov_38.422775
836	22540	58352	36659	21705	21694	99.95	58934	58352	36.83	37.18	Ga0113608_131	NODE_13_length_58352_cov_26.491741
2543	58934	56645	265	56392	56381	99.98	58934	58352	95.69	96.62	Ga0113608_131	NODE_13_length_58352_cov_26.491741
1	33066	8436	41501	33066	33066	100.00	33066	167224	100.00	19.77	Ga0113608_132	NODE_5_length_167224_cov_29.569639
1	33002	37736	4735	33002	33002	100.00	33002	55297	100.00	59.68	Ga0113608_133	NODE_14_length_55297_cov_35.977209
1	191525	25561	217082	191525	191522	99.99	191525	217181	100.00	88.19	Ga0113608_135	NODE_3_length_217181_cov_26.390686
1	138991	11697	150686	138991	138990	99.99	138991	185056	100.00	75.11	Ga0113608_137	NODE_4_length_185056_cov_26.894174
1	4671	43473	38820	4671	4654	98.69	4671	55297	100.00	8.42	Ga0113608_139	NODE_14_length_55297_cov_35.977209
1	12938	2880	15817	12938	12938	100.00	12938	95370	100.00	13.57	Ga0113608_140	NODE_11_length_95370_cov_32.813314
1	7671	10448	18118	7671	7671	100.00	7671	18267	100.00	41.99	Ga0113608_141	NODE_18_length_18267_cov_31.200637
1	34533	102103	136635	34533	34533	99.88	34533	141486	100.00	24.41	Ga0113608_142	NODE_8_length_141486_cov_31.670362
1	8473	15718	24190	8473	8473	100.00	8473	95370	100.00	8.88	Ga0113608_145	NODE_11_length_95370_cov_32.813314
