/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/79718.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/BIN_REASSEMBLY/reassembled_bins/bin.126.strict.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	6658	17453	24110	6658	6658	99.98	6658	71453	100.00	9.32	Ga0113607_1001	NODE_8_length_71453_cov_66.549858
1	3763	15024	18800	3763	3777	98.73	3763	145276	100.00	2.60	Ga0113607_1002	NODE_5_length_145276_cov_53.396637
1	4278	189254	193545	4278	4292	99.53	4278	566628	100.00	0.76	Ga0113607_1003	NODE_1_length_566628_cov_67.796708
1	18308	467428	485737	18308	18310	99.99	18877	486458	96.99	3.76	Ga0113607_1004	NODE_2_length_486458_cov_59.591477
1	3249	11558	14827	3249	3270	99.30	3249	137433	100.00	2.38	Ga0113607_1005	NODE_7_length_137433_cov_51.958145
1	5456	22835	28287	5456	5453	99.93	5456	145276	100.00	3.75	Ga0113607_1006	NODE_5_length_145276_cov_53.396637
1	7903	459761	467663	7903	7903	99.95	7903	486458	100.00	1.62	Ga0113607_1007	NODE_2_length_486458_cov_59.591477
1	9222	70598	61385	9222	9214	99.90	9222	566628	100.00	1.63	Ga0113607_1008	NODE_1_length_566628_cov_67.796708
1	7321	177922	185242	7321	7321	99.92	7321	351114	100.00	2.09	Ga0113607_1009	NODE_3_length_351114_cov_51.036395
1	81406	277482	358887	81406	81406	99.98	81406	486458	100.00	16.73	Ga0113607_1010	NODE_2_length_486458_cov_59.591477
1	19892	555050	535159	19892	19892	99.98	36237	566628	54.89	3.51	Ga0113607_1011	NODE_1_length_566628_cov_67.796708
20020	36237	535060	518842	16218	16219	99.91	36237	566628	44.76	2.86	Ga0113607_1011	NODE_1_length_566628_cov_67.796708
1	3403	61484	58082	3403	3403	99.85	3403	566628	100.00	0.60	Ga0113607_1012	NODE_1_length_566628_cov_67.796708
1	7023	87499	80477	7023	7023	99.91	7023	566628	100.00	1.24	Ga0113607_1013	NODE_1_length_566628_cov_67.796708
1	4035	189353	185303	4035	4051	99.58	4035	566628	100.00	0.71	Ga0113607_1014	NODE_1_length_566628_cov_67.796708
535	3887	40874	37522	3353	3353	100.00	3887	40874	86.26	8.20	Ga0113607_1015	NODE_13_length_40874_cov_64.562970
