/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/79717.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/BIN_REASSEMBLY/reassembled_bins/bin.87.strict.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	3282	2105	5389	3282	3285	99.85	3282	46560	100.00	7.06	Ga0113606_1001	NODE_13_length_46560_cov_80.190646
1	4580	22841	18262	4580	4580	99.91	4580	33472	100.00	13.68	Ga0113606_1002	NODE_19_length_33472_cov_60.059940
1	3720	137028	140747	3720	3720	99.97	3720	284652	100.00	1.31	Ga0113606_1003	NODE_2_length_284652_cov_75.606327
1	5437	1572	6999	5437	5428	99.43	5437	59120	100.00	9.18	Ga0113606_1004	NODE_10_length_59120_cov_70.013866
1	5865	21753	27619	5865	5867	99.88	5865	76140	100.00	7.71	Ga0113606_1005	NODE_7_length_76140_cov_63.817783
1	3208	19717	16512	3208	3206	99.81	3208	20929	100.00	15.32	Ga0113606_1006	NODE_23_length_20929_cov_71.391636
1	3494	83189	79696	3494	3494	99.86	3494	294627	100.00	1.19	Ga0113606_1007	NODE_1_length_294627_cov_72.535326
1	3009	4549	7552	3009	3004	99.53	3009	7798	100.00	38.52	Ga0113606_1008	NODE_32_length_7798_cov_61.014206
1	4109	62886	58778	4109	4109	99.95	4109	284652	100.00	1.44	Ga0113606_1009	NODE_2_length_284652_cov_75.606327
1	6272	16608	10326	6272	6283	99.71	6272	69561	100.00	9.03	Ga0113606_1010	NODE_8_length_69561_cov_78.896110
1	3388	187	3565	3388	3379	98.82	3388	5390	100.00	62.69	Ga0113606_1011	NODE_34_length_5390_cov_63.480787
1	3477	266255	262778	3477	3478	99.88	3477	294627	100.00	1.18	Ga0113606_1012	NODE_1_length_294627_cov_72.535326
1	3707	24821	28534	3707	3714	98.98	3707	36052	100.00	10.30	Ga0113606_1013	NODE_16_length_36052_cov_79.389310
1	10476	54086	43620	10476	10467	99.82	10476	76140	100.00	13.75	Ga0113606_1014	NODE_7_length_76140_cov_63.817783
1	3418	291217	294627	3418	3411	99.68	7247	294627	47.16	1.16	Ga0113606_1015	NODE_1_length_294627_cov_72.535326
3870	7247	1	3377	3378	3377	99.82	7247	12240	46.61	27.59	Ga0113606_1015	NODE_27_length_12240_cov_74.940583
834	2442	1	1609	1609	1609	99.88	3073	1609	52.36	100.00	Ga0113606_1016	NODE_58_length_1609_cov_58.937580
3356	4642	35490	36787	1287	1298	98.38	4642	46560	27.73	2.79	Ga0113606_1018	NODE_13_length_46560_cov_80.190646
1	7219	164647	157429	7219	7219	99.93	7219	284652	100.00	2.54	Ga0113606_1020	NODE_2_length_284652_cov_75.606327
1	5646	40443	34803	5646	5641	99.81	5646	114950	100.00	4.91	Ga0113606_1021	NODE_3_length_114950_cov_67.185865
1	4360	11854	7492	4360	4363	99.84	4360	39280	100.00	11.11	Ga0113606_1022	NODE_15_length_39280_cov_79.681775
2056	4975	12004	14933	2920	2930	98.36	4975	59120	58.69	4.96	Ga0113606_1023	NODE_10_length_59120_cov_70.013866
1	4690	10857	6168	4690	4690	99.77	4690	12240	100.00	38.32	Ga0113606_1024	NODE_27_length_12240_cov_74.940583
1	7227	91968	84742	7227	7227	99.88	7227	284652	100.00	2.54	Ga0113606_1025	NODE_2_length_284652_cov_75.606327
1	4919	226238	221289	4919	4950	99.27	4919	294627	100.00	1.68	Ga0113606_1026	NODE_1_length_294627_cov_72.535326
1	3921	148374	144452	3921	3923	99.82	3921	284652	100.00	1.38	Ga0113606_1027	NODE_2_length_284652_cov_75.606327
1	4403	47003	51439	4403	4437	99.05	4403	108662	100.00	4.08	Ga0113606_1028	NODE_5_length_108662_cov_84.088466
1	5182	37072	42260	5182	5189	99.83	5182	59120	100.00	8.78	Ga0113606_1029	NODE_10_length_59120_cov_70.013866
558	3631	1	3074	3074	3074	100.00	3631	26837	84.66	11.45	Ga0113606_1030	NODE_21_length_26837_cov_71.854679
1	4923	54605	59527	4923	4923	99.86	4923	69561	100.00	7.08	Ga0113606_1031	NODE_8_length_69561_cov_78.896110
1	3240	39066	42305	3240	3240	99.72	3240	69561	100.00	4.66	Ga0113606_1032	NODE_8_length_69561_cov_78.896110
1	3536	47455	43938	3536	3518	99.24	3536	108662	100.00	3.24	Ga0113606_1033	NODE_5_length_108662_cov_84.088466
1	3722	176837	173093	3722	3745	99.23	3722	294627	100.00	1.27	Ga0113606_1035	NODE_1_length_294627_cov_72.535326
1	4859	40753	35883	4859	4871	99.53	4859	284652	100.00	1.71	Ga0113606_1036	NODE_2_length_284652_cov_75.606327
1	3213	250443	253676	3213	3234	98.73	3213	294627	100.00	1.10	Ga0113606_1037	NODE_1_length_294627_cov_72.535326
1	8708	232944	241652	8708	8709	99.55	8708	284652	100.00	3.06	Ga0113606_1039	NODE_2_length_284652_cov_75.606327
1058	13802	1	12746	12745	12746	99.78	13802	284652	92.34	4.48	Ga0113606_1040	NODE_2_length_284652_cov_75.606327
1	3066	61988	65057	3066	3070	99.54	3066	294627	100.00	1.04	Ga0113606_1041	NODE_1_length_294627_cov_72.535326
1	4184	17407	21602	4184	4196	97.12	4184	39280	100.00	10.68	Ga0113606_1042	NODE_15_length_39280_cov_79.681775
1	3692	62627	66323	3692	3697	99.65	3692	96674	100.00	3.82	Ga0113606_1043	NODE_6_length_96674_cov_68.774964
1	3311	42182	45508	3311	3327	99.28	3311	284652	100.00	1.17	Ga0113606_1044	NODE_2_length_284652_cov_75.606327
1	4571	49958	45383	4571	4576	99.80	4571	294627	100.00	1.55	Ga0113606_1045	NODE_1_length_294627_cov_72.535326
1	5536	28605	34132	5536	5528	99.73	5616	39280	98.58	14.07	Ga0113606_1046	NODE_15_length_39280_cov_79.681775
1	3177	114657	111492	3177	3166	95.01	3177	114950	100.00	2.75	Ga0113606_1047	NODE_3_length_114950_cov_67.185865
1299	2343	5137	4093	1045	1045	90.91	3177	5137	32.89	20.34	Ga0113606_1047	NODE_37_length_5137_cov_85.802637
1	6937	62305	55359	6937	6947	99.70	6937	294627	100.00	2.36	Ga0113606_1049	NODE_1_length_294627_cov_72.535326
1	3416	85141	88553	3416	3413	99.04	3416	294627	100.00	1.16	Ga0113606_1050	NODE_1_length_294627_cov_72.535326
84	5446	285423	280058	5363	5366	99.83	5446	294627	98.48	1.82	Ga0113606_1051	NODE_1_length_294627_cov_72.535326
1	3612	200025	196408	3612	3618	99.56	3612	284652	100.00	1.27	Ga0113606_1052	NODE_2_length_284652_cov_75.606327
1	3085	243295	240211	3085	3085	99.71	3085	294627	100.00	1.05	Ga0113606_1053	NODE_1_length_294627_cov_72.535326
1	5545	18108	12564	5545	5545	99.73	5545	76140	100.00	7.28	Ga0113606_1054	NODE_7_length_76140_cov_63.817783
1	3436	38303	41761	3436	3459	99.19	3436	108662	100.00	3.18	Ga0113606_1056	NODE_5_length_108662_cov_84.088466
1	5616	75950	70355	5616	5596	99.39	5616	284652	100.00	1.97	Ga0113606_1057	NODE_2_length_284652_cov_75.606327
1	4402	28660	33062	4402	4403	99.21	4402	33472	100.00	13.15	Ga0113606_1058	NODE_19_length_33472_cov_60.059940
1	4232	27520	31751	4232	4232	99.91	4232	76140	100.00	5.56	Ga0113606_1059	NODE_7_length_76140_cov_63.817783
1	4445	10069	5634	4445	4436	99.39	4445	19767	100.00	22.44	Ga0113606_1060	NODE_24_length_19767_cov_54.305702
1	4183	23820	28007	4183	4188	99.19	4183	35776	100.00	11.71	Ga0113606_1061	NODE_17_length_35776_cov_67.517147
4	3923	38802	42721	3920	3920	99.82	3923	48162	99.92	8.14	Ga0113606_1062	NODE_12_length_48162_cov_59.697653
