/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/79700.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/DNA_BINS/maxbin2_bins/bin.161.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	18716	113194	131908	18716	18715	99.99	18716	208679	100.00	8.97	Ga0113588_1001	NODE_86_length_208679_cov_17.892999
1	1755	74	1827	1755	1754	98.75	6172	4780	28.43	36.69	Ga0113588_1002	NODE_26996_length_4780_cov_15.978413
2163	3357	1928	3122	1195	1195	99.83	6172	4780	19.36	25.00	Ga0113588_1002	NODE_26996_length_4780_cov_15.978413
3801	5358	3223	4780	1558	1558	100.00	6172	4780	25.24	32.59	Ga0113588_1002	NODE_26996_length_4780_cov_15.978413
1	3038	12	3049	3038	3038	99.61	3615	6387	84.04	47.57	Ga0113588_1003	NODE_18172_length_6387_cov_15.914561
1	5200	1039	6238	5200	5200	99.90	5200	8235	100.00	63.15	Ga0113588_1005	NODE_12995_length_8235_cov_16.235819
1	10658	25946	15289	10658	10658	99.98	10658	31191	100.00	34.17	Ga0113588_1006	NODE_2376_length_31191_cov_16.168872
1	2468	1724	4191	2468	2468	99.64	4159	4191	59.34	58.89	Ga0113588_1007	NODE_32454_length_4191_cov_17.246373
2743	4159	1	1417	1417	1417	100.00	4159	1685	34.07	84.09	Ga0113588_1007	NODE_119714_length_1685_cov_15.376687
1	1211	1933	3143	1211	1211	99.92	4690	3143	25.82	38.53	Ga0113588_1008	NODE_48450_length_3143_cov_10.242876
14	1211	1946	3143	1198	1198	86.06	4690	3143	25.54	38.12	Ga0113588_1008	NODE_48456_length_3143_cov_6.963407
1157	4394	6387	3150	3238	3238	99.88	4690	6387	69.04	50.70	Ga0113588_1008	NODE_18172_length_6387_cov_15.914561
1	3067	31155	28089	3067	3067	99.58	3655	31191	83.91	9.83	Ga0113588_1009	NODE_2376_length_31191_cov_16.168872
1	34372	35596	69967	34372	34372	99.96	34372	70715	100.00	48.61	Ga0113588_1010	NODE_625_length_70715_cov_15.051019
513	3281	4507	1746	2769	2762	99.67	3289	4507	84.19	61.28	Ga0113588_1012	NODE_29307_length_4507_cov_8.929695
1	14815	15395	558	14815	14838	99.69	14815	31191	100.00	47.57	Ga0113588_1014	NODE_2376_length_31191_cov_16.168872
1	14649	58718	73366	14649	14649	99.98	14649	91256	100.00	16.05	Ga0113588_1015	NODE_411_length_91256_cov_15.231796
1	10352	26897	37248	10352	10352	99.98	10352	126842	100.00	8.16	Ga0113588_1017	NODE_218_length_126842_cov_13.610851
1	2890	33445	30556	2890	2890	100.00	21532	95263	13.42	3.03	Ga0113588_1018	NODE_383_length_95263_cov_17.075046
2836	21529	30455	11762	18694	18694	99.96	21532	95263	86.82	19.62	Ga0113588_1018	NODE_383_length_95263_cov_17.075046
1	13961	16157	30117	13961	13961	99.98	13961	109771	100.00	12.72	Ga0113588_1019	NODE_285_length_109771_cov_14.692306
1	3412	1	3412	3412	3412	99.91	3412	4301	100.00	79.33	Ga0113588_1020	NODE_31290_length_4301_cov_12.634715
1	14051	131839	145889	14051	14051	99.99	14051	208679	100.00	6.73	Ga0113588_1021	NODE_86_length_208679_cov_17.892999
1	19935	23844	3910	19935	19935	99.96	19935	126842	100.00	15.72	Ga0113588_1022	NODE_218_length_126842_cov_13.610851
1	8478	8478	1	8478	8478	100.00	9096	18099	93.21	46.84	Ga0113588_1025	NODE_4851_length_18099_cov_12.867657
384	5406	1232	6254	5023	5023	99.96	9106	7502	55.16	66.96	Ga0113588_1026	NODE_14686_length_7502_cov_14.739090
5660	6807	6355	7502	1148	1148	97.74	9106	7502	12.61	15.30	Ga0113588_1026	NODE_14686_length_7502_cov_14.739090
6753	9106	3143	790	2354	2354	99.96	9106	3143	25.85	74.90	Ga0113588_1026	NODE_48454_length_3143_cov_7.230246
1	93804	10518	104332	93804	93815	99.98	93804	208679	100.00	44.96	Ga0113588_1027	NODE_86_length_208679_cov_17.892999
1	95581	33157	128737	95581	95581	99.99	95581	137588	100.00	69.47	Ga0113588_1028	NODE_190_length_137588_cov_14.992976
1	5552	103898	109449	5552	5552	99.55	5552	109771	100.00	5.06	Ga0113588_1029	NODE_285_length_109771_cov_14.692306
1	27910	27033	54942	27910	27910	99.99	32793	54942	85.11	50.80	Ga0113588_1030	NODE_982_length_54942_cov_15.754350
27856	32793	1	4938	4938	4938	100.00	32793	6376	15.06	77.45	Ga0113588_1030	NODE_18217_length_6376_cov_9.854137
1	3587	143	3729	3587	3587	100.00	3587	4250	100.00	84.40	Ga0113588_1031	NODE_31812_length_4250_cov_11.899881
1	9038	11926	2889	9038	9038	99.50	9038	95263	100.00	9.49	Ga0113588_1032	NODE_383_length_95263_cov_17.075046
1	4400	4400	1	4400	4400	99.86	4946	62536	88.96	7.04	Ga0113588_1033	NODE_779_length_62536_cov_16.936733
254	4096	1	3843	3843	3843	100.00	4096	80476	93.82	4.78	Ga0113588_1034	NODE_486_length_80476_cov_14.182390
1	4320	56211	51892	4320	4320	99.93	4323	80476	99.93	5.37	Ga0113588_1035	NODE_486_length_80476_cov_14.182390
1	5000	15892	20891	5000	5000	100.00	9440	20891	52.97	23.93	Ga0113588_1036	NODE_4058_length_20891_cov_15.694999
4946	9395	1	4450	4450	4450	99.91	9440	4450	47.14	100.00	Ga0113588_1036	NODE_29853_length_4450_cov_16.399545
450	10818	75699	65331	10369	10369	99.96	10818	95263	95.85	10.88	Ga0113588_1037	NODE_383_length_95263_cov_17.075046
559	2890	2332	1	2332	2332	99.96	3632	2332	64.21	100.00	Ga0113588_1038	NODE_74053_length_2332_cov_8.408432
424	1523	1100	1	1100	1100	100.00	5869	1100	18.74	100.00	Ga0113588_1039	NODE_231085_length_1100_cov_8.463158
2355	4474	2120	1	2120	2120	99.62	5869	2120	36.12	100.00	Ga0113588_1039	NODE_85158_length_2120_cov_12.203874
1	19399	10644	30042	19399	19399	99.99	19399	37412	100.00	51.85	Ga0113588_1040	NODE_1822_length_37412_cov_17.233450
1179	2393	1215	1	1215	1215	100.00	9497	1215	12.79	100.00	Ga0113588_1041	NODE_197969_length_1215_cov_13.596552
2394	4201	1808	1	1808	1808	100.00	9497	1808	19.04	100.00	Ga0113588_1041	NODE_107703_length_1808_cov_14.472356
4350	7410	1	3061	3061	3061	100.00	9497	3061	32.23	100.00	Ga0113588_1041	NODE_50225_length_3061_cov_11.899202
7790	9475	1	1686	1686	1686	97.86	9497	1686	17.75	100.00	Ga0113588_1041	NODE_119608_length_1686_cov_10.521766
1	3470	39455	35986	3470	3470	99.91	3470	41641	100.00	8.33	Ga0113588_1042	NODE_1542_length_41641_cov_16.520440
1	72623	72623	1	72623	72623	99.99	72710	88545	99.88	82.02	Ga0113588_1043	NODE_421_length_88545_cov_16.094971
1	27744	1806	29549	27744	27744	99.96	27744	31687	100.00	87.56	Ga0113588_1044	NODE_2329_length_31687_cov_15.396687
1	10997	165379	176375	10997	10997	99.95	10997	181436	100.00	6.06	Ga0113588_1045	NODE_106_length_181436_cov_15.810349
1	7497	44730	37234	7497	7497	99.99	7497	126842	100.00	5.91	Ga0113588_1046	NODE_218_length_126842_cov_13.610851
704	2005	1302	1	1302	1302	100.00	3499	1302	37.21	100.00	Ga0113588_1047	NODE_177739_length_1302_cov_12.632719
1	33527	111377	77851	33527	33527	99.99	33527	116899	100.00	28.68	Ga0113588_1048	NODE_255_length_116899_cov_18.884633
1	34278	38216	3938	34278	34279	99.98	34278	80476	100.00	42.60	Ga0113588_1049	NODE_486_length_80476_cov_14.182390
483	1726	1	1243	1244	1243	98.87	8667	1243	14.35	100.00	Ga0113588_1050	NODE_190993_length_1243_cov_14.335859
1672	2680	1009	1	1009	1009	99.70	8667	1009	11.64	100.00	Ga0113588_1050	NODE_264718_length_1009_cov_18.180294
3024	8215	1	5192	5192	5192	99.79	8667	5192	59.91	100.00	Ga0113588_1050	NODE_24091_length_5192_cov_18.117773
1	7934	7934	1	7934	7934	99.95	10856	181436	73.08	4.37	Ga0113588_1051	NODE_106_length_181436_cov_15.810349
9392	10856	1	1465	1465	1465	100.00	10856	4191	13.49	34.96	Ga0113588_1051	NODE_32454_length_4191_cov_17.246373
1	115938	165431	49494	115938	115938	99.99	157345	181436	73.68	63.90	Ga0113588_1053	NODE_106_length_181436_cov_15.810349
