/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/79700.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/BIN_REASSEMBLY/reassembled_bins/bin.9.permissive.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	18716	112246	93532	18716	18715	99.99	18716	238697	100.00	7.84	Ga0113588_1001	NODE_2_length_238697_cov_17.335431
1	1906	80332	82236	1906	1905	98.53	6172	82236	30.88	2.32	Ga0113588_1002	NODE_12_length_82236_cov_16.602146
2012	3489	1478	1	1478	1478	99.86	6172	1478	23.95	100.00	Ga0113588_1002	NODE_76_length_1478_cov_11.867182
3667	5517	1	1851	1851	1851	100.00	6172	1851	29.99	100.00	Ga0113588_1002	NODE_67_length_1851_cov_16.718263
1	3176	3178	3	3176	3176	99.84	3615	34264	87.86	9.27	Ga0113588_1003	NODE_18_length_34264_cov_14.966997
1	5200	22841	28040	5200	5200	99.90	5200	30174	100.00	17.23	Ga0113588_1005	NODE_20_length_30174_cov_15.133238
1	10658	8201	18858	10658	10658	99.98	10658	34264	100.00	31.11	Ga0113588_1006	NODE_18_length_34264_cov_14.966997
1	2559	2559	1	2559	2559	99.53	4159	4404	61.53	58.11	Ga0113588_1007	NODE_47_length_4404_cov_14.433433
2629	4159	2983	1453	1531	1531	99.93	4159	2983	36.81	51.32	Ga0113588_1007	NODE_55_length_2983_cov_11.114754
1	4513	6226	10738	4513	4513	99.76	4690	10740	96.23	42.02	Ga0113588_1008	NODE_28_length_10740_cov_11.860352
14	1211	1613	2810	1198	1198	86.06	4690	2810	25.54	42.63	Ga0113588_1008	NODE_58_length_2810_cov_6.760799
1	3655	3147	6801	3655	3655	98.36	3655	34264	100.00	10.67	Ga0113588_1009	NODE_18_length_34264_cov_14.966997
1	34372	42742	77113	34372	34372	99.94	34372	80975	100.00	42.45	Ga0113588_1010	NODE_13_length_80975_cov_14.072379
389	3281	1	2886	2893	2886	99.69	3289	23911	87.96	12.07	Ga0113588_1012	NODE_23_length_23911_cov_12.623910
1	14815	18752	33566	14815	14815	99.99	14815	34264	100.00	43.24	Ga0113588_1014	NODE_18_length_34264_cov_14.966997
1	14649	58680	73328	14649	14649	99.97	14649	91348	100.00	16.04	Ga0113588_1015	NODE_11_length_91348_cov_14.812735
1	10352	93285	103636	10352	10352	99.97	10352	218867	100.00	4.73	Ga0113588_1017	NODE_4_length_218867_cov_13.341878
