/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/79698.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/DNA_BINS/maxbin2_bins/bin.311.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	17893	329471	311579	17893	17893	100.00	17893	433956	100.00	4.12	Ga0113586_1001	NODE_14_length_433956_cov_10.014957
1	3164	17576	14413	3164	3164	99.97	3164	48928	100.00	6.47	Ga0113586_1002	NODE_1182_length_48928_cov_8.752031
1	14152	175957	190108	14152	14152	100.00	14152	213916	100.00	6.62	Ga0113586_1003	NODE_78_length_213916_cov_9.377292
1	5298	160024	165322	5298	5299	99.98	5298	171158	100.00	3.10	Ga0113586_1004	NODE_120_length_171158_cov_8.240808
1	18323	125420	107098	18323	18323	99.99	18323	133905	100.00	13.68	Ga0113586_1005	NODE_197_length_133905_cov_8.691050
66	8039	44	8017	7974	7974	99.94	8039	433956	99.19	1.84	Ga0113586_1006	NODE_14_length_433956_cov_10.014957
1	7574	219355	226928	7574	7574	99.99	7574	256395	100.00	2.95	Ga0113586_1007	NODE_48_length_256395_cov_9.993146
1	5392	43381	37990	5392	5392	99.98	5392	67808	100.00	7.95	Ga0113586_1008	NODE_671_length_67808_cov_8.416454
1	19342	7778	27119	19342	19342	99.99	19342	35922	100.00	53.84	Ga0113586_1009	NODE_1942_length_35922_cov_8.881758
1	4755	163460	158706	4755	4755	100.00	4755	186977	100.00	2.54	Ga0113586_1010	NODE_101_length_186977_cov_8.510170
1	3346	147234	150579	3346	3346	100.00	3346	186977	100.00	1.79	Ga0113586_1011	NODE_101_length_186977_cov_8.510170
258	6426	144262	150430	6169	6169	99.98	6426	256395	96.00	2.41	Ga0113586_1012	NODE_48_length_256395_cov_9.993146
1	1051	549	1599	1051	1051	99.81	24787	1599	4.24	65.73	Ga0113586_1013	NODE_129632_length_1599_cov_18.273316
2245	24787	168691	191233	22543	22543	100.00	24787	272396	90.95	8.28	Ga0113586_1013	NODE_42_length_272396_cov_10.460342
1	24758	134533	109776	24758	24758	99.99	24758	256395	100.00	9.66	Ga0113586_1014	NODE_48_length_256395_cov_9.993146
1	9010	103718	94709	9010	9010	100.00	9010	133905	100.00	6.73	Ga0113586_1015	NODE_197_length_133905_cov_8.691050
18	3225	48927	45721	3208	3207	99.97	3225	48928	99.47	6.55	Ga0113586_1016	NODE_1182_length_48928_cov_8.752031
1	8806	17671	8866	8806	8806	100.00	8806	133905	100.00	6.58	Ga0113586_1017	NODE_197_length_133905_cov_8.691050
1	9702	107717	98016	9702	9702	99.98	9702	171158	100.00	5.67	Ga0113586_1018	NODE_120_length_171158_cov_8.240808
1	23410	28792	52201	23410	23410	100.00	25349	52201	92.35	44.85	Ga0113586_1019	NODE_1070_length_52201_cov_9.147682
1	18045	1736	19780	18045	18045	99.98	18045	171158	100.00	10.54	Ga0113586_1020	NODE_120_length_171158_cov_8.240808
1	8934	31391	22458	8934	8934	99.98	8934	84062	100.00	10.63	Ga0113586_1021	NODE_452_length_84062_cov_8.563025
1	11730	101253	112982	11730	11730	100.00	11730	213916	100.00	5.48	Ga0113586_1022	NODE_78_length_213916_cov_9.377292
1	7237	62638	69874	7237	7237	99.99	7237	88223	100.00	8.20	Ga0113586_1023	NODE_425_length_88223_cov_8.998389
1	4972	22556	17585	4972	4972	100.00	4972	48928	100.00	10.16	Ga0113586_1024	NODE_1182_length_48928_cov_8.752031
1	6879	50251	43373	6879	6879	99.96	6879	67808	100.00	10.14	Ga0113586_1025	NODE_671_length_67808_cov_8.416454
1	6294	8707	2414	6294	6294	100.00	6294	9519	100.00	66.12	Ga0113586_1026	NODE_10799_length_9519_cov_9.414730
1	5106	50215	55320	5106	5106	100.00	5106	67808	100.00	7.53	Ga0113586_1027	NODE_671_length_67808_cov_8.416454
