/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/79703.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/DNA_BINS/maxbin2_bins/bin.76.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	17895	70276	88170	17895	17895	99.97	17895	175342	100.00	10.21	Ga0113591_101	NODE_116_length_175342_cov_8.013852
1	4765	36236	41000	4765	4765	99.90	4765	65432	100.00	7.28	Ga0113591_102	NODE_719_length_65432_cov_9.908791
1	24665	84588	59924	24665	24665	99.99	24665	143663	100.00	17.17	Ga0113591_103	NODE_175_length_143663_cov_9.757165
1	26273	26273	1	26273	26273	99.99	69845	59446	37.62	44.20	Ga0113591_104	NODE_846_length_59446_cov_10.345945
26219	69845	67444	23818	43627	43627	99.99	69845	67444	62.46	64.69	Ga0113591_104	NODE_680_length_67444_cov_10.021680
1	67951	37779	105729	67951	67951	99.99	70007	245465	97.06	27.68	Ga0113591_105	NODE_54_length_245465_cov_9.812750
68043	70007	105830	107794	1965	1965	100.00	70007	245465	2.81	0.80	Ga0113591_105	NODE_54_length_245465_cov_9.812750
1	5758	7121	1364	5758	5758	99.97	5760	26144	99.97	22.02	Ga0113591_106	NODE_3010_length_26144_cov_8.999348
1	4489	4489	1	4489	4489	100.00	28012	17615	16.03	25.48	Ga0113591_107	NODE_5051_length_17615_cov_8.388781
4435	28012	1	23578	23578	23578	99.98	28012	56738	84.17	41.56	Ga0113591_107	NODE_925_length_56738_cov_9.179348
1	12541	9471	22011	12541	12541	99.98	14129	22011	88.76	56.98	Ga0113591_108	NODE_3794_length_22011_cov_8.693933
12616	14129	1	1514	1514	1514	99.74	14129	3200	10.72	47.31	Ga0113591_108	NODE_47227_length_3200_cov_8.632750
1	4826	37835	33010	4826	4826	100.00	4826	245465	100.00	1.97	Ga0113591_109	NODE_54_length_245465_cov_9.812750
1	100203	107724	207926	100203	100203	99.99	100203	245465	100.00	40.82	Ga0113591_110	NODE_54_length_245465_cov_9.812750
1	17244	52834	70077	17244	17244	99.98	17244	111018	100.00	15.53	Ga0113591_111	NODE_280_length_111018_cov_10.479124
153	11271	1	11120	11119	11120	99.89	11271	65432	98.65	16.99	Ga0113591_112	NODE_719_length_65432_cov_9.908791
1	2948	44	2993	2948	2950	99.90	39135	2993	7.53	98.56	Ga0113591_113	NODE_51833_length_2993_cov_8.052076
2894	39135	49754	13513	36242	36242	99.99	39135	49754	92.61	72.84	Ga0113591_113	NODE_1147_length_49754_cov_9.107346
2	20153	207913	228063	20152	20151	99.88	20153	245465	100.00	8.21	Ga0113591_114	NODE_54_length_245465_cov_9.812750
1	16811	14465	31275	16811	16811	99.98	16811	175342	100.00	9.59	Ga0113591_115	NODE_116_length_175342_cov_8.013852
1	9134	175165	166032	9134	9134	99.98	9134	175342	100.00	5.21	Ga0113591_116	NODE_116_length_175342_cov_8.013852
1	25204	11021	36224	25204	25204	99.98	25204	65432	100.00	38.52	Ga0113591_117	NODE_719_length_65432_cov_9.908791
1	21656	19005	40660	21656	21656	99.94	137319	163553	15.77	13.24	Ga0113591_118	NODE_129_length_163553_cov_9.251599
21657	137319	41301	156963	115663	115663	99.99	137319	163553	84.23	70.72	Ga0113591_118	NODE_129_length_163553_cov_9.251599
1	9551	22479	32029	9551	9551	99.95	9551	34543	100.00	27.65	Ga0113591_119	NODE_2075_length_34543_cov_8.981443
132	2264	2133	1	2133	2133	100.00	12149	2133	17.56	100.00	Ga0113591_120	NODE_84430_length_2133_cov_8.472089
2622	12149	1	9528	9528	9528	99.97	12149	22011	78.43	43.29	Ga0113591_120	NODE_3794_length_22011_cov_8.693933
861	5663	29001	33803	4803	4803	100.00	15987	33803	30.04	14.21	Ga0113591_121	NODE_2139_length_33803_cov_7.786832
5609	15987	1	10379	10379	10379	99.97	15987	17718	64.92	58.58	Ga0113591_121	NODE_5008_length_17718_cov_7.858574
1	7438	10281	17718	7438	7438	99.95	7443	17718	99.93	41.98	Ga0113591_122	NODE_5008_length_17718_cov_7.858574
1	9894	166130	156237	9894	9894	99.97	9894	175342	100.00	5.64	Ga0113591_123	NODE_116_length_175342_cov_8.013852
1	4788	136717	131930	4788	4788	99.92	4788	142527	100.00	3.36	Ga0113591_124	NODE_179_length_142527_cov_8.164804
1	24977	24977	1	24977	24977	99.99	25973	111018	96.17	22.50	Ga0113591_125	NODE_280_length_111018_cov_10.479124
1	46337	47692	94028	46337	46337	99.99	46337	180214	100.00	25.71	Ga0113591_126	NODE_109_length_180214_cov_9.001876
1	3215	79307	82521	3215	3215	99.94	4619	82521	69.60	3.90	Ga0113591_127	NODE_461_length_82521_cov_8.165644
3161	4619	3200	1742	1459	1459	99.66	4619	3200	31.59	45.59	Ga0113591_127	NODE_47227_length_3200_cov_8.632750
1	8147	47957	39799	8147	8159	99.75	8147	111018	100.00	7.35	Ga0113591_128	NODE_280_length_111018_cov_10.479124
1	16206	125157	108952	16206	16206	99.99	16206	175342	100.00	9.24	Ga0113591_129	NODE_116_length_175342_cov_8.013852
1	7996	48460	56455	7996	7996	99.89	7996	82521	100.00	9.69	Ga0113591_130	NODE_461_length_82521_cov_8.165644
1	1428	1428	1	1428	1428	99.51	3061	26144	46.65	5.46	Ga0113591_131	NODE_3010_length_26144_cov_8.999348
1374	3061	5473	3786	1688	1688	99.88	3061	5473	55.15	30.84	Ga0113591_131	NODE_22485_length_5473_cov_7.016980
1	5208	5208	1	5208	5208	100.00	15365	11268	33.90	46.22	Ga0113591_132	NODE_8788_length_11268_cov_8.937751
5264	15365	1	10102	10102	10102	100.00	15365	142527	65.75	7.09	Ga0113591_132	NODE_179_length_142527_cov_8.164804
46	3068	1	3023	3023	3023	100.00	3068	6888	98.53	43.89	Ga0113591_133	NODE_16418_length_6888_cov_8.388556
95	69581	69486	1	69487	69486	99.97	71135	69486	97.68	100.00	Ga0113591_134	NODE_640_length_69486_cov_10.825726
69527	71135	1930	322	1609	1609	99.88	71135	1930	2.26	83.37	Ga0113591_134	NODE_97834_length_1930_cov_8.260800
364	24833	65432	40963	24470	24470	99.98	24833	65432	98.54	37.40	Ga0113591_135	NODE_719_length_65432_cov_9.908791
939	34311	56738	23366	33373	33373	99.96	34311	56738	97.27	58.82	Ga0113591_136	NODE_925_length_56738_cov_9.179348
1	33273	59446	26174	33273	33273	99.98	33273	59446	100.00	55.97	Ga0113591_137	NODE_846_length_59446_cov_10.345945
242	33297	1	33056	33056	33056	99.99	33297	245465	99.28	13.47	Ga0113591_138	NODE_54_length_245465_cov_9.812750
1	3355	119816	123170	3355	3355	99.97	3355	142527	100.00	2.35	Ga0113591_139	NODE_179_length_142527_cov_8.164804
1	14320	88251	102570	14320	14320	99.97	14320	175342	100.00	8.17	Ga0113591_140	NODE_116_length_175342_cov_8.013852
1	22909	75235	98144	22909	22910	99.99	22909	111018	100.00	20.64	Ga0113591_141	NODE_280_length_111018_cov_10.479124
1	4060	17820	13761	4060	4060	100.00	4060	18176	100.00	22.34	Ga0113591_142	NODE_4828_length_18176_cov_8.672811
399	13822	1	13424	13424	13424	99.99	13822	163553	97.12	8.21	Ga0113591_143	NODE_129_length_163553_cov_9.251599
1	10072	162182	172253	10072	10072	99.90	10072	180214	100.00	5.59	Ga0113591_144	NODE_109_length_180214_cov_9.001876
341	8410	180214	172145	8070	8070	99.98	8410	180214	95.96	4.48	Ga0113591_145	NODE_109_length_180214_cov_9.001876
1	60922	119942	59021	60922	60922	99.97	60922	142527	100.00	42.74	Ga0113591_146	NODE_179_length_142527_cov_8.164804
1	6995	18265	25259	6995	6995	100.00	6995	26144	100.00	26.76	Ga0113591_148	NODE_3010_length_26144_cov_8.999348
1	14286	84559	98855	14286	14297	99.87	14295	143663	99.94	9.95	Ga0113591_149	NODE_175_length_143663_cov_9.757165
153	22723	1	22571	22571	22571	100.00	22723	34543	99.33	65.34	Ga0113591_150	NODE_2075_length_34543_cov_8.981443
1	20523	70327	49805	20523	20523	99.99	20523	175342	100.00	11.70	Ga0113591_151	NODE_116_length_175342_cov_8.013852
1	11222	31198	42419	11222	11222	99.98	11222	175342	100.00	6.40	Ga0113591_152	NODE_116_length_175342_cov_8.013852
1	12221	31864	44084	12221	12221	99.98	12221	142527	100.00	8.57	Ga0113591_153	NODE_179_length_142527_cov_8.164804
