/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/94259.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/DNA_BINS/maxbin2_bins/bin.328.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	5609	1293	6901	5609	5609	100.00	5609	74443	100.00	7.53	Ga0136517_1001	NODE_572_length_74443_cov_12.379335
1	3981	64487	68467	3981	3981	99.95	5841	68467	68.16	5.81	Ga0136517_1002	NODE_661_length_68467_cov_11.894083
4782	5841	27233	26174	1060	1060	99.72	5841	27233	18.15	3.89	Ga0136517_1002	NODE_2870_length_27233_cov_12.203694
1	8165	30634	38798	8165	8165	99.94	8165	46983	100.00	17.38	Ga0136517_1003	NODE_1277_length_46983_cov_11.435028
1	21727	97837	119563	21727	21727	99.86	21792	119563	99.70	18.17	Ga0136517_1004	NODE_244_length_119563_cov_13.125883
1	5296	35383	40678	5296	5296	99.92	5296	141315	100.00	3.75	Ga0136517_1005	NODE_182_length_141315_cov_11.380794
1	3174	31585	34758	3174	3174	99.59	3174	90688	100.00	3.50	Ga0136517_1006	NODE_414_length_90688_cov_14.700517
1	5295	16265	10970	5295	5296	99.79	5295	57086	100.00	9.28	Ga0136517_1007	NODE_916_length_57086_cov_11.982308
1	1835	4517	6351	1835	1835	100.00	21858	6351	8.40	28.89	Ga0136517_1008	NODE_18316_length_6351_cov_7.856258
1781	21527	77185	57439	19747	19747	99.98	21858	77185	90.34	25.58	Ga0136517_1008	NODE_533_length_77185_cov_13.396331
1	6903	6902	1	6903	6902	99.77	15940	43212	43.31	15.97	Ga0136517_1009	NODE_1464_length_43212_cov_12.059133
6848	15538	8689	1	8691	8689	99.83	15940	8689	54.52	100.00	Ga0136517_1009	NODE_12129_length_8689_cov_11.367269
1	20145	20351	206	20145	20146	99.89	20145	65568	100.00	30.73	Ga0136517_1010	NODE_717_length_65568_cov_11.903347
1	17381	35934	18554	17381	17381	99.80	17381	46671	100.00	37.24	Ga0136517_1011	NODE_1286_length_46671_cov_15.811781
391	17295	29705	12801	16905	16905	99.96	17376	29705	97.29	56.91	Ga0136517_1012	NODE_2534_length_29705_cov_16.894469
1	2720	30419	33138	2720	2720	99.89	3509	33138	77.51	8.21	Ga0136517_1013	NODE_2194_length_33138_cov_13.654898
1	8034	29623	21590	8034	8034	99.93	8034	80969	100.00	9.92	Ga0136517_1014	NODE_480_length_80969_cov_11.545332
1	10804	55668	44865	10804	10804	99.92	10804	70494	100.00	15.33	Ga0136517_1015	NODE_629_length_70494_cov_11.712205
1	10612	196024	185413	10612	10612	99.92	10612	293392	100.00	3.62	Ga0136517_1016	NODE_33_length_293392_cov_12.799132
1	10076	74073	63997	10076	10077	99.88	10076	74443	100.00	13.54	Ga0136517_1017	NODE_572_length_74443_cov_12.379335
1	7847	55562	47716	7847	7847	99.92	7847	58575	100.00	13.40	Ga0136517_1018	NODE_866_length_58575_cov_14.859484
1	6724	55560	62283	6724	6724	99.91	6724	132424	100.00	5.08	Ga0136517_1019	NODE_203_length_132424_cov_14.366052
174	3284	119181	116079	3111	3103	99.49	3284	119181	94.73	2.60	Ga0136517_1020	NODE_245_length_119181_cov_14.889117
20	14831	72281	87054	14812	14774	99.56	14831	90688	99.87	16.29	Ga0136517_1021	NODE_414_length_90688_cov_14.700517
766	4215	1	3450	3450	3450	100.00	4382	3450	78.73	100.00	Ga0136517_1022	NODE_42492_length_3450_cov_17.237408
1	14832	47872	33041	14832	14832	99.92	14832	68467	100.00	21.66	Ga0136517_1023	NODE_661_length_68467_cov_11.894083
1	7867	97502	89636	7867	7867	99.85	7867	132424	100.00	5.94	Ga0136517_1024	NODE_203_length_132424_cov_14.366052
1	3530	128540	125011	3530	3530	99.63	3530	293392	100.00	1.20	Ga0136517_1025	NODE_33_length_293392_cov_12.799132
778	1927	1	1150	1150	1150	100.00	3388	1150	33.94	100.00	Ga0136517_1026	NODE_215678_length_1150_cov_11.610046
1	5805	38023	32220	5805	5804	99.95	5805	293392	100.00	1.98	Ga0136517_1027	NODE_33_length_293392_cov_12.799132
1	7430	47553	40124	7430	7430	99.92	8597	109328	86.43	6.80	Ga0136517_1028	NODE_288_length_109328_cov_14.591555
7432	8597	39967	38802	1166	1166	99.83	8597	109328	13.56	1.07	Ga0136517_1028	NODE_288_length_109328_cov_14.591555
