/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/79712.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/BIN_REASSEMBLY/reassembled_bins/bin.135.strict.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	10485	69073	79557	10485	10485	99.99	10485	117087	100.00	8.95	Ga0113601_1005	NODE_10_length_117087_cov_7.952316
1	10470	15970	26439	10470	10470	99.97	10470	51378	100.00	20.38	Ga0113601_1008	NODE_20_length_51378_cov_7.709390
1	1631	1631	1	1631	1631	99.45	6118	12715	26.66	12.83	Ga0113601_1019	NODE_33_length_12715_cov_5.322512
1856	6118	50326	46064	4263	4263	99.95	6118	50326	69.68	8.47	Ga0113601_1019	NODE_21_length_50326_cov_7.518470
1	5247	45884	40638	5247	5247	99.98	5247	194132	100.00	2.70	Ga0113601_1021	NODE_5_length_194132_cov_7.199118
1	3411	21014	24424	3411	3411	100.00	3411	194132	100.00	1.76	Ga0113601_1026	NODE_5_length_194132_cov_7.199118
1	5123	47299	42177	5123	5123	100.00	5123	113184	100.00	4.53	Ga0113601_1028	NODE_11_length_113184_cov_7.858268
1	4992	112495	107504	4992	4992	99.98	4992	245631	100.00	2.03	Ga0113601_1034	NODE_3_length_245631_cov_7.492141
1	4191	127807	131997	4191	4191	100.00	4191	236807	100.00	1.77	Ga0113601_1037	NODE_4_length_236807_cov_7.490721
1	3548	100271	96724	3548	3548	99.61	3548	136937	100.00	2.59	Ga0113601_1038	NODE_8_length_136937_cov_8.068368
1	4962	84358	79397	4962	4962	99.92	4962	111620	100.00	4.45	Ga0113601_1039	NODE_12_length_111620_cov_7.863891
1	3389	30112	33500	3389	3389	99.88	3389	129587	100.00	2.62	Ga0113601_1040	NODE_9_length_129587_cov_7.435047
1	3311	120980	117670	3311	3311	99.97	3311	194132	100.00	1.71	Ga0113601_1043	NODE_5_length_194132_cov_7.199118
1	4622	299503	304124	4622	4622	100.00	4622	342205	100.00	1.35	Ga0113601_1044	NODE_2_length_342205_cov_8.480978
1	21256	134432	155687	21256	21256	99.99	21256	342205	100.00	6.21	Ga0113601_1049	NODE_2_length_342205_cov_8.480978
1	6725	63026	69750	6725	6725	99.99	6725	140836	100.00	4.78	Ga0113601_1050	NODE_7_length_140836_cov_7.496573
1	3443	20228	16786	3443	3443	99.94	3443	236807	100.00	1.45	Ga0113601_1054	NODE_4_length_236807_cov_7.490721
64	3112	122611	119563	3049	3049	99.93	3112	245631	97.98	1.24	Ga0113601_1055	NODE_3_length_245631_cov_7.492141
1	16188	17558	1371	16188	16188	99.95	16188	113184	100.00	14.30	Ga0113601_1063	NODE_11_length_113184_cov_7.858268
1	12164	299588	287426	12164	12163	99.88	12164	342205	100.00	3.55	Ga0113601_1064	NODE_2_length_342205_cov_8.480978
1	12155	46337	58491	12155	12155	99.93	12155	111620	100.00	10.89	Ga0113601_1066	NODE_12_length_111620_cov_7.863891
1	4811	8509	13319	4811	4811	99.85	4811	51378	100.00	9.36	Ga0113601_1067	NODE_20_length_51378_cov_7.709390
1	13778	220653	206876	13778	13778	99.97	13778	342205	100.00	4.03	Ga0113601_1071	NODE_2_length_342205_cov_8.480978
1	7321	38251	45571	7321	7321	99.99	7321	78864	100.00	9.28	Ga0113601_1074	NODE_17_length_78864_cov_6.872109
1	7363	8950	1588	7363	7363	99.96	7363	117087	100.00	6.29	Ga0113601_1075	NODE_10_length_117087_cov_7.952316
1	4582	308774	304193	4582	4582	100.00	4582	342205	100.00	1.34	Ga0113601_1076	NODE_2_length_342205_cov_8.480978
1	3989	54776	58764	3989	3989	99.75	3990	113184	99.97	3.52	Ga0113601_1080	NODE_11_length_113184_cov_7.858268
1	3404	65166	61765	3404	3402	99.94	3404	245631	100.00	1.39	Ga0113601_1084	NODE_3_length_245631_cov_7.492141
252	9466	344194	334980	9215	9215	99.97	9466	344194	97.35	2.68	Ga0113601_1085	NODE_1_length_344194_cov_8.002999
1	9053	70958	61906	9053	9053	100.00	9053	344194	100.00	2.63	Ga0113601_1087	NODE_1_length_344194_cov_8.002999
1	4209	32283	28075	4209	4209	99.55	4209	52340	100.00	8.04	Ga0113601_1088	NODE_19_length_52340_cov_7.010022
1	3005	14979	11975	3005	3005	99.97	3005	20457	100.00	14.69	Ga0113601_1098	NODE_28_length_20457_cov_7.196745
1	4183	154953	150771	4183	4183	99.98	4183	187870	100.00	2.23	Ga0113601_1107	NODE_6_length_187870_cov_7.940931
910	4167	12520	15777	3258	3258	99.39	4167	30341	78.19	10.74	Ga0113601_1108	NODE_24_length_30341_cov_6.184144
1	18046	42223	24178	18046	18046	99.96	18046	113184	100.00	15.94	Ga0113601_1111	NODE_11_length_113184_cov_7.858268
1	3855	50033	53887	3855	3855	99.95	3855	78864	100.00	4.89	Ga0113601_1116	NODE_17_length_78864_cov_6.872109
1	7391	49571	56961	7391	7391	100.00	7391	342205	100.00	2.16	Ga0113601_1122	NODE_2_length_342205_cov_8.480978
1	3703	84945	88647	3703	3703	99.81	3703	344194	100.00	1.08	Ga0113601_1128	NODE_1_length_344194_cov_8.002999
1	3319	92854	96172	3319	3319	99.76	3319	344194	100.00	0.96	Ga0113601_1129	NODE_1_length_344194_cov_8.002999
4	3579	150376	146801	3576	3576	100.00	3579	236807	99.92	1.51	Ga0113601_1131	NODE_4_length_236807_cov_7.490721
1	3250	99299	96050	3250	3250	100.00	3250	113184	100.00	2.87	Ga0113601_1132	NODE_11_length_113184_cov_7.858268
1	4647	20717	16071	4647	4647	99.96	4647	140836	100.00	3.30	Ga0113601_1134	NODE_7_length_140836_cov_7.496573
1	9596	256191	265786	9596	9596	100.00	9596	342205	100.00	2.80	Ga0113601_1135	NODE_2_length_342205_cov_8.480978
1	8537	169360	160824	8537	8537	100.00	8537	342205	100.00	2.49	Ga0113601_1136	NODE_2_length_342205_cov_8.480978
1	6493	16459	22965	6493	6507	99.69	6493	80414	100.00	8.09	Ga0113601_1137	NODE_16_length_80414_cov_8.101731
1	9609	10415	807	9609	9609	99.99	9609	101308	100.00	9.48	Ga0113601_1139	NODE_13_length_101308_cov_8.382844
1	9597	20941	11345	9597	9597	99.94	9597	78864	100.00	12.17	Ga0113601_1140	NODE_17_length_78864_cov_6.872109
1	3305	104133	107437	3305	3305	99.91	3305	140836	100.00	2.35	Ga0113601_1142	NODE_7_length_140836_cov_7.496573
1	3479	211190	207712	3479	3479	100.00	3479	236807	100.00	1.47	Ga0113601_1145	NODE_4_length_236807_cov_7.490721
1	6882	96109	89228	6882	6882	99.99	6882	113184	100.00	6.08	Ga0113601_1146	NODE_11_length_113184_cov_7.858268
1	5378	21444	26821	5378	5378	99.96	5378	187870	100.00	2.86	Ga0113601_1154	NODE_6_length_187870_cov_7.940931
1	3425	111619	108195	3425	3425	100.00	3425	111620	100.00	3.07	Ga0113601_1155	NODE_12_length_111620_cov_7.863891
2	3750	197957	194209	3749	3749	100.00	3750	344194	99.97	1.09	Ga0113601_1158	NODE_1_length_344194_cov_8.002999
1	4796	122734	127529	4796	4796	99.94	4796	245631	100.00	1.95	Ga0113601_1160	NODE_3_length_245631_cov_7.492141
1	5771	82343	76573	5771	5771	99.98	5771	129587	100.00	4.45	Ga0113601_1161	NODE_9_length_129587_cov_7.435047
1	5416	10678	16093	5416	5416	99.96	5416	140836	100.00	3.85	Ga0113601_1168	NODE_7_length_140836_cov_7.496573
1	7842	92162	100003	7842	7842	100.00	7842	187870	100.00	4.17	Ga0113601_1171	NODE_6_length_187870_cov_7.940931
1	15716	122600	138315	15716	15716	99.97	15716	344194	100.00	4.57	Ga0113601_1172	NODE_1_length_344194_cov_8.002999
1	3684	64057	60374	3684	3684	99.73	3684	342205	100.00	1.08	Ga0113601_1173	NODE_2_length_342205_cov_8.480978
1	3311	805	4115	3311	3311	99.82	3313	129587	99.94	2.56	Ga0113601_1174	NODE_9_length_129587_cov_7.435047
1	15576	324291	308716	15576	15576	99.99	15576	342205	100.00	4.55	Ga0113601_1175	NODE_2_length_342205_cov_8.480978
