/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/79703.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/BIN_REASSEMBLY/reassembled_bins/bin.86.strict.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	17895	280935	298829	17895	17895	99.97	17895	406534	100.00	4.40	Ga0113591_101	NODE_3_length_406534_cov_7.481167
1	4765	274607	269843	4765	4765	99.90	4765	533510	100.00	0.89	Ga0113591_102	NODE_1_length_533510_cov_9.330457
1	24665	59109	83773	24665	24665	99.99	24665	270936	100.00	9.10	Ga0113591_103	NODE_4_length_270936_cov_9.364241
1	69845	237763	167919	69845	69845	99.99	69845	270936	100.00	25.78	Ga0113591_104	NODE_4_length_270936_cov_9.364241
1	67951	207687	139737	67951	67951	99.99	70007	533510	97.06	12.74	Ga0113591_105	NODE_1_length_533510_cov_9.330457
68043	70007	139636	137672	1965	1965	100.00	70007	533510	2.81	0.37	Ga0113591_105	NODE_1_length_533510_cov_9.330457
1	5758	26070	20313	5758	5758	99.97	5760	471430	99.97	1.22	Ga0113591_106	NODE_2_length_471430_cov_8.263325
1	28012	63148	91159	28012	28012	99.99	28012	471430	100.00	5.94	Ga0113591_107	NODE_2_length_471430_cov_8.263325
1	12598	9560	22157	12598	12598	99.98	14129	37288	89.16	33.79	Ga0113591_108	NODE_9_length_37288_cov_7.790938
12616	14129	22139	23652	1514	1514	99.87	14129	37288	10.72	4.06	Ga0113591_108	NODE_9_length_37288_cov_7.790938
1	4826	207631	212456	4826	4826	100.00	4826	533510	100.00	0.90	Ga0113591_109	NODE_1_length_533510_cov_9.330457
1	100203	137742	37540	100203	100203	99.99	100203	533510	100.00	18.78	Ga0113591_110	NODE_1_length_533510_cov_9.330457
1	17244	363529	380772	17244	17244	99.98	17244	533510	100.00	3.23	Ga0113591_111	NODE_1_length_533510_cov_9.330457
1	11271	310994	299723	11271	11272	99.89	11271	533510	100.00	2.11	Ga0113591_112	NODE_1_length_533510_cov_9.330457
1	39135	168	39304	39135	39137	99.98	39135	59774	100.00	65.47	Ga0113591_113	NODE_7_length_59774_cov_8.366232
2	20153	37553	17403	20152	20151	99.87	20153	533510	100.00	3.78	Ga0113591_114	NODE_1_length_533510_cov_9.330457
1	16811	225124	241934	16811	16811	99.98	16811	406534	100.00	4.14	Ga0113591_115	NODE_3_length_406534_cov_7.481167
1	9134	385708	376575	9134	9134	99.98	9134	406534	100.00	2.25	Ga0113591_116	NODE_3_length_406534_cov_7.481167
1	25204	299822	274619	25204	25204	99.98	25204	533510	100.00	4.72	Ga0113591_117	NODE_1_length_533510_cov_9.330457
1	137319	144810	282118	137319	137309	99.97	137319	471430	100.00	29.13	Ga0113591_118	NODE_2_length_471430_cov_8.263325
