/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/79702.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/BIN_REASSEMBLY/reassembled_bins/bin.4.permissive.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	255599	427607	172009	255599	255599	99.99	255599	432399	100.00	59.11	Ga0113590_101	NODE_1_length_432399_cov_17.127079
254	6408	6157	3	6155	6155	99.32	156840	6157	3.92	99.97	Ga0113590_102	NODE_16_length_6157_cov_13.964110
6477	156840	187688	37325	150364	150364	99.99	156840	187688	95.87	80.11	Ga0113590_102	NODE_3_length_187688_cov_15.966482
1	45813	181301	135489	45813	45813	99.97	151859	181431	30.17	25.25	Ga0113590_103	NODE_4_length_181431_cov_14.451934
45654	151859	135594	29389	106206	106206	99.99	151859	181431	69.94	58.54	Ga0113590_103	NODE_4_length_181431_cov_14.451934
1	3581	137045	133465	3581	3581	100.00	137372	137614	2.61	2.60	Ga0113590_104	NODE_7_length_137614_cov_17.788760
3641	137008	133368	1	133368	133368	100.00	137372	137614	97.09	96.91	Ga0113590_104	NODE_7_length_137614_cov_17.788760
1	137216	137216	1	137216	137216	99.99	137261	432399	99.97	31.73	Ga0113590_105	NODE_1_length_432399_cov_17.127079
1	80006	30717	110725	80006	80009	99.95	80006	116933	100.00	68.42	Ga0113590_106	NODE_8_length_116933_cov_16.397962
1	69871	31470	101340	69871	69871	99.99	69871	173967	100.00	40.16	Ga0113590_107	NODE_5_length_173967_cov_14.702039
1	6533	110401	116933	6533	6533	100.00	55517	116933	11.77	5.59	Ga0113590_108	NODE_8_length_116933_cov_16.397962
20205	55517	195399	160108	35313	35292	99.94	55517	195399	63.61	18.06	Ga0113590_108	NODE_2_length_195399_cov_15.964137
106	51342	1	51237	51237	51237	99.98	51342	103332	99.80	49.58	Ga0113590_109	NODE_9_length_103332_cov_15.286434
1	46784	94639	141422	46784	46784	99.97	46784	195399	100.00	23.94	Ga0113590_110	NODE_2_length_195399_cov_15.964137
508	42136	142966	101338	41629	41629	99.99	42136	173967	98.80	23.93	Ga0113590_111	NODE_5_length_173967_cov_14.702039
1	41001	11724	52724	41001	41001	99.97	41798	52830	98.09	77.61	Ga0113590_112	NODE_12_length_52830_cov_17.896220
1	40662	14264	54925	40662	40662	99.93	41051	54930	99.05	74.03	Ga0113590_113	NODE_11_length_54930_cov_14.234114
1	39724	103313	143041	39724	39729	99.97	39724	143371	100.00	27.71	Ga0113590_114	NODE_6_length_143371_cov_17.922423
1	1252	1784	3048	1252	1265	98.50	54433	3049	2.30	41.49	Ga0113590_115	NODE_18_length_3049_cov_17.060120
1	1045	15187	16244	1045	1058	98.20	54433	143371	1.92	0.74	Ga0113590_115	NODE_6_length_143371_cov_17.922423
1199	54433	16398	69656	53235	53259	99.93	54433	143371	97.80	37.15	Ga0113590_115	NODE_6_length_143371_cov_17.922423
1	35087	172108	137022	35087	35087	99.99	35087	432399	100.00	8.11	Ga0113590_116	NODE_1_length_432399_cov_17.127079
1	32452	70881	103332	32452	32452	99.99	33504	103332	96.86	31.41	Ga0113590_117	NODE_9_length_103332_cov_15.286434
1	30998	31093	108	30998	30986	99.89	40247	116933	77.02	26.50	Ga0113590_118	NODE_8_length_116933_cov_16.397962
32849	40247	145	7557	7399	7413	99.70	40247	187688	18.38	3.95	Ga0113590_118	NODE_3_length_187688_cov_15.966482
765	32333	1	31569	31569	31569	99.96	32333	173967	97.64	18.15	Ga0113590_119	NODE_5_length_173967_cov_14.702039
398	31580	173967	142785	31183	31183	99.95	31580	173967	98.74	17.92	Ga0113590_120	NODE_5_length_173967_cov_14.702039
2	28659	36131	7474	28658	28658	99.98	28659	187688	100.00	15.27	Ga0113590_121	NODE_3_length_187688_cov_15.966482
