/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/79706.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/DNA_BINS/maxbin2_bins/bin.34.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	12893	2425	15317	12893	12893	99.98	12893	15326	100.00	84.13	Ga0113594_1001	NODE_6030_length_15326_cov_5.481959
521	9354	26354	17521	8834	8834	100.00	9354	26354	94.44	33.52	Ga0113594_1002	NODE_2981_length_26354_cov_5.856763
1	9185	11679	20863	9185	9185	99.98	9185	48250	100.00	19.04	Ga0113594_1003	NODE_1213_length_48250_cov_5.819649
1	9147	2288	11434	9147	9147	99.99	9147	31202	100.00	29.32	Ga0113594_1004	NODE_2375_length_31202_cov_5.754904
1	4354	4354	1	4354	4354	99.98	9134	27108	47.67	16.06	Ga0113594_1005	NODE_2884_length_27108_cov_5.437918
5555	9134	8829	5250	3580	3580	100.00	9134	8829	39.19	40.55	Ga0113594_1005	NODE_11865_length_8829_cov_5.834397
240	3539	1	3300	3300	3300	99.97	7561	3300	43.65	100.00	Ga0113594_1006	NODE_45218_length_3300_cov_5.619414
3517	7561	1	4045	4045	4045	100.00	7561	29672	53.50	13.63	Ga0113594_1006	NODE_2538_length_29672_cov_5.920620
1	7405	27104	19700	7405	7405	100.00	7405	27108	100.00	27.32	Ga0113594_1007	NODE_2884_length_27108_cov_5.437918
1	6927	12136	5210	6927	6927	100.00	6927	30315	100.00	22.85	Ga0113594_1008	NODE_2467_length_30315_cov_5.005056
1	5873	5873	1	5873	5873	99.98	6718	6660	87.42	88.18	Ga0113594_1009	NODE_17171_length_6660_cov_5.408630
1	6503	28255	21753	6503	6503	99.98	6540	48350	99.43	13.45	Ga0113594_1010	NODE_1211_length_48350_cov_5.307257
1	6502	6929	428	6502	6502	99.78	6502	12987	100.00	50.07	Ga0113594_1011	NODE_7421_length_12987_cov_5.403650
