/scratch/users/karoraw1@jhu.edu/THRASH_LIBS/REFERENCE_BINS/just_sequences/79699.assembled.fna /scratch/users/karoraw1@jhu.edu/THRASH_LIBS/BIN_REASSEMBLY/reassembled_bins/bin.140.permissive.fa
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	5742	48858	43117	5742	5742	99.84	5742	49997	100.00	11.48	Ga0113587_101	NODE_11_length_49997_cov_18.899744
1	7603	16192	23788	7603	7597	97.39	12306	312845	61.78	2.43	Ga0113587_102	NODE_1_length_312845_cov_21.166575
6606	12306	8805	3086	5701	5720	99.62	12306	8805	46.33	64.96	Ga0113587_102	NODE_28_length_8805_cov_8.607543
11287	12306	27228	28247	1020	1020	88.75	12306	312845	8.29	0.33	Ga0113587_102	NODE_1_length_312845_cov_21.166575
1	17875	37459	19585	17875	17875	99.98	17875	248805	100.00	7.18	Ga0113587_103	NODE_2_length_248805_cov_18.264489
1	3783	71229	75011	3783	3783	99.68	3783	119591	100.00	3.16	Ga0113587_104	NODE_8_length_119591_cov_20.725104
1	6719	128696	135401	6719	6706	99.72	6719	228900	100.00	2.93	Ga0113587_105	NODE_3_length_228900_cov_18.515336
1	8692	19684	10993	8692	8692	99.95	8692	248805	100.00	3.49	Ga0113587_106	NODE_2_length_248805_cov_18.264489
1	18690	157053	138364	18690	18690	99.99	18690	167471	100.00	11.16	Ga0113587_107	NODE_5_length_167471_cov_20.446325
118	36295	1	36177	36178	36177	99.99	36295	202727	99.68	17.85	Ga0113587_108	NODE_4_length_202727_cov_19.126395
1	13523	28096	14572	13523	13525	99.95	13523	44068	100.00	30.69	Ga0113587_109	NODE_12_length_44068_cov_18.670665
1	2979	2976	1	2979	2976	99.40	5239	21175	56.86	14.05	Ga0113587_110	NODE_20_length_21175_cov_18.542992
3601	5239	1	1639	1639	1639	99.82	5239	44068	31.28	3.72	Ga0113587_110	NODE_12_length_44068_cov_18.670665
1	84986	37360	122356	84986	84997	99.97	84986	248805	100.00	34.16	Ga0113587_111	NODE_2_length_248805_cov_18.264489
1	4676	85115	89784	4676	4670	99.42	4676	312845	100.00	1.49	Ga0113587_112	NODE_1_length_312845_cov_21.166575
