ref_bins	ref_frac_alnd	query_bins	query_frac_aln
94261	0.999498982473	bin.24.permissive	0.872492009508
79712	0.998267529471	bin.135.strict	0.596913737538
94260	0.977104585063	bin.83.strict	0.557762024625
79704	0.990903267526	bin.124.strict	0.705017948544
79698	0.998043434063	bin.119.strict	0.867871448887
79718	0.993067268366	bin.126.strict	0.90500196218
79719	1.01719718271	bin.137.permissive	0.813204233929
79700	0.985639180667	bin.9.permissive	0.919271648888
79703	0.997425460404	bin.86.strict	0.941347926984
79706	0.951973970788	bin.36.strict	0.37738818599
79699	0.994940310804	bin.140.permissive	0.935771594544
79702	0.987686838791	bin.4.permissive	0.956887024051
94254	0.994436236843	bin.113.strict	0.571760427455
94253	0.987521509957	bin.97.orig	0.976526443366
94258	0.989770343935	bin.67.strict	0.941960731748
79705	0.686718506726	bin.31.strict	0.221870809688
94259	0.989313960811	bin.146.strict	0.858159444163
79717	0.978240659127	bin.87.strict	0.317711557593
94264	0.994282180882	bin.112.strict	0.868785391625
79701	0.99927418144	bin.34.strict	0.875391981203
